,names,Brand
0,Maryland Cookies Chocolate Chip Minis x6,Maryland
1,Weetabix Cereal x24,Weetabix
2,Walker's Shortbread Fingers x10 160g,Walker's
3,Stamford Street Co. Chopped Tomatoes in Tomato Juice 400g,Stamford Street Co.
4,Cravendale Filtered Fresh Semi Skimmed Milk 2L Fresher for Longer,Cravendale
5,JS Double Cream 300ml,JS
6,Heinz Baked Beans in a Rich Tomato Sauce 4 x 415g,Heinz
7,Walkers Ready Salted Multipack Crisps 6x25g,Walkers
8,Napolina Chopped Tomatoes 4x400g,Napolina
9,Napolina Chopped Tomatoes 400g,Napolina
10,Oatly Oat Drink Barista Edition Long Life 1L,Oatly
11,Stamford Street Co. Baked Beans in Tomato Sauce 400g,Stamford Street Co.
12,Heinz Baked Beans in a Rich Tomato Sauce 415g,Heinz
13,Alpro Almond No Sugars Long Life Drink 1L,Alpro
14,KTC Chopped Tomatoes 400g,KTC
15,Cravendale Filtered Fresh Whole Milk 2L Fresher for Longer,Cravendale
16,Walkers Cheese & Onion Multipack Crisps 6x25g,Walkers
17,McVitie's Milk Chocolate Digestives Biscuits 266g,McVitie's
18,Heinz Cream of Tomato Soup 400g,Heinz
19,KTC Chick Peas 400g,KTC
20,Princes Tuna Chunks in Spring Water 4x145g,Princes
21,Stamford Street Co. Peeled Plum Tomatoes in Tomato Juice 400g,Stamford Street Co.
22,Walkers Quavers Cheese Multipack Crisps Snacks 6x16g,Walkers
23,Stamford Street Co. Tortilla Chips 200g,Stamford Street Co.
24,Hula Hoops Original Potato Ring Crisps 6x24g,Hula Hoops
25,Jacob's Mini Cheddars Original Baked Snacks Multipack 6x23g,Jacob's
26,Batchelors Super Noodles Chicken Flavour 90g,Batchelors
27,Pom-Bear Original Multipack Crisps 6x13g,Pom-Bear
28,McVitie's Digestives The Original Biscuits 360g,McVitie's
29,Birds Eye Potato Waffles x10 567g,Birds Eye
30,KitKat 2 Finger Milk Chocolate Biscuit Bar Multipack 9x20.7g,KitKat
31,Walkers Salt & Vinegar Multipack Crisps 6x25g,Walkers
32,Diet Coke 8x330ml,Diet Coke
33,Cadbury Dairy Milk Chocolate Bar 180g,Cadbury
34,Tilda Microwave Rice Pure Basmati 250g,Tilda
35,Alpro Almond No Sugars Chilled Drink 1L,Alpro
36,Cadbury Brunch Oats Chocolate Chip Cereal Bar Pack x5 160g,Cadbury
37,Cadbury Dairy Milk Giant Buttons Chocolate Bag 119g,Cadbury
38,Walkers Wotsits Really Cheesy Multipack Crisps Snacks 6x16.5g,Walkers
39,Stamford Street Co. Dark Chocolate 100g,Stamford Street Co.
40,Kit Kat 2 Finger Milk Chocolate Biscuit Bar Multipack 14x20.7g,Kit Kat
41,Ambrosia Custard Can 400g,Ambrosia
42,Pringles Original Sharing Crisps 185g,Pringles
43,Stamford Street Co. Digestive Biscuits 400g,Stamford Street Co.
44,Kerrygold Pure Irish Butter 250g,Kerrygold
45,Doritos Cool Original Sharing Tortilla Chips Crisps 180g,Doritos
46,Pringles Sour Cream & Onion Sharing Crisps 185g,Pringles
47,Ambrosia Rice Pudding Can 400g,Ambrosia
48,Walkers Prawn Cocktail Multipack Crisps 6x25g,Walkers
49,Stamford Street Co. Milk Chocolate Digestives 300g,Stamford Street Co.
50,Sensations Thai Sweet Chilli Sharing Crisps 150g,Sensations
51,Heinz Cream of Tomato Soup x4 400g,Heinz
52,Branston Baked Beans 4x410g,Branston
53,Jus-Rol Puff Pastry Ready Rolled Sheet 320g,Jus-Rol
54,McVitie's Ginger Nut Biscuits 250g,McVitie's
55,Weetabix Cereal x48,Weetabix
56,Heinz Cream of Chicken Soup 400g,Heinz
57,McVitie's Dark Chocolate Digestive Biscuits 266g,McVitie's
58,Happy Egg Large Free Range Eggs x10,Happy Egg
59,Hula Hoops BBQ Beef Potato Ring Crisps 6x24g,Hula Hoops
60,Stamford Street Co. Milk Chocolate 100g,Stamford Street Co.
61,Stamford Street Co. Peach Slices in Light Syrup 411g,Stamford Street Co.
62,Terry's Chocolate Orange Milk Ball 157g,Terry's
63,Kettle Chips Sea Salt & Balsamic Vinegar of Modena Sharing Crisps 130g,Kettle Chips
64,Stamford Street Co. Clear Honey 340g,Stamford Street Co.
65,Alpro Soya Chilled Drink 1L,Alpro
66,KitKat Chunky Milk Chocolate Bar Multipack 4x40g,KitKat
67,Jacob's Cream Crackers 300g,Jacob's
68,Cadbury Brunch Oats Raisin Chocolate Cereal Bar Pack x5 160g,Cadbury
69,Dolmio Bolognese Pasta Sauce 500g,Dolmio
70,Jacob's Mini Cheddars Original Baked Snacks Multipack 12x23g,Jacob's
71,Stamford Street Co. Salted Peanuts 200g,Stamford Street Co.
72,Heinz Top Down Ketchup 460g,Heinz
73,Yeo Valley Organic Yogurt Greek Style With Honey 4x100g,Yeo Valley
74,McVitie's Rich Tea Biscuits 300g,McVitie's
75,McVitie's Hobnobs Milk Chocolate Biscuits 262g,McVitie's
76,McCoy's Classic Variety Pack Crisps 6x25g,McCoy's
77,Soreen Malt Lunchbox Loaf Bars x5,Soreen
78,Oreo Vanilla Cookie Sandwich Biscuits 154g,Oreo
79,JS Sunflower Oil 1L,JS
80,Tunnock's Caramel Wafers x8,Tunnock's
81,Quaker Oat So Simple Original Porridge Sachets 10x27g,Quaker
82,Napolina Spaghetti 500g,Napolina
83,Batchelors Original Mushy Peas 300g,Batchelors
84,Alpro Long Life Oat Drink 1L,Alpro
85,Lindt Excellence Dark 70% Cocoa Chocolate Bar 100g,Lindt
86,Napolina Tomato Passata 500g,Napolina
87,Bisto Gravy Granules 190g,Bisto
88,Nescafé Azera Americano Instant Coffee 90g,Nescafé
89,Kellogg's Corn Flakes Breakfast Cereal 500g,Kellogg's
90,McVitie's The Original Jaffa Cakes Twin Pack x20 238g,McVitie's
91,Hula Hoops Variety Pack Potato Ring Crisps 6x24g,Hula Hoops
92,Nature Valley Crunchy Oats & Honey Cereal Bars 5x42g,Nature Valley
93,Petits Filous Kids Strawberry & Apricot Yoghurt 4x85g,Petits Filous
